#Solução sedimentação esfera - Runge Kutta 4 ordem 
#t    vRK4    vExato    erTrue[%] 
2.98 0.99742 0.99742 2.09002e-09
2.99 0.997471 0.997471 2.0554e-09
3 0.997521 0.997521 2.02134e-09
3.01 0.99757 0.99757 1.98783e-09
3.02 0.997618 0.997618 1.95484e-09
3.03 0.997666 0.997666 1.92239e-09
3.04 0.997712 0.997712 1.89045e-09
3.05 0.997757 0.997757 1.85903e-09
3.06 0.997802 0.997802 1.82812e-09
3.07 0.997845 0.997845 1.79768e-09
3.08 0.997888 0.997888 1.76776e-09
3.09 0.99793 0.99793 1.7383e-09
3.1 0.997971 0.997971 1.70933e-09
3.11 0.998011 0.998011 1.68081e-09
3.12 0.99805 0.99805 1.65277e-09
3.13 0.998089 0.998089 1.62518e-09
3.14 0.998127 0.998127 1.59803e-09
3.15 0.998164 0.998164 1.57131e-09
3.16 0.9982 0.9982 1.54503e-09
3.17 0.998236 0.998236 1.51917e-09
3.18 0.998271 0.998271 1.49373e-09
3.19 0.998305 0.998305 1.46871e-09
3.2 0.998338 0.998338 1.44409e-09
3.21 0.998371 0.998371 1.41987e-09
3.22 0.998404 0.998404 1.39605e-09
3.23 0.998435 0.998435 1.37261e-09
3.24 0.998466 0.998466 1.34955e-09
3.25 0.998497 0.998497 1.32687e-09
3.26 0.998526 0.998526 1.30457e-09
3.27 0.998556 0.998556 1.28262e-09
3.28 0.998584 0.998584 1.26102e-09
3.29 0.998612 0.998612 1.23979e-09
3.3 0.99864 0.99864 1.21891e-09
3.31 0.998667 0.998667 1.19835e-09
3.32 0.998693 0.998693 1.17814e-09
3.33 0.998719 0.998719 1.15827e-09
3.34 0.998744 0.998744 1.13871e-09
3.35 0.998769 0.998769 1.11948e-09
3.36 0.998793 0.998793 1.10056e-09
3.37 0.998817 0.998817 1.08195e-09
3.38 0.998841 0.998841 1.06365e-09
3.39 0.998864 0.998864 1.04565e-09
3.4 0.998886 0.998886 1.02795e-09
3.41 0.998908 0.998908 1.01053e-09
3.42 0.99893 0.99893 9.93403e-10
3.43 0.998951 0.998951 9.76555e-10
3.44 0.998972 0.998972 9.59987e-10
3.45 0.998992 0.998992 9.43697e-10
3.46 0.999012 0.999012 9.27675e-10
3.47 0.999032 0.999032 9.1191e-10
3.48 0.999051 0.999051 8.96412e-10
3.49 0.99907 0.99907 8.81171e-10
3.5 0.999088 0.999088 8.66175e-10
3.51 0.999106 0.999106 8.51425e-10
3.52 0.999124 0.999124 8.36931e-10
3.53 0.999141 0.999141 8.22682e-10
3.54 0.999158 0.999158 8.08657e-10
3.55 0.999175 0.999175 7.94876e-10
3.56 0.999191 0.999191 7.81319e-10
3.57 0.999207 0.999207 7.67984e-10
3.58 0.999223 0.999223 7.54872e-10
3.59 0.999238 0.999238 7.41983e-10
3.6 0.999253 0.999253 7.29306e-10
3.61 0.999268 0.999268 7.1684e-10
3.62 0.999283 0.999283 7.04576e-10
3.63 0.999297 0.999297 6.92522e-10
3.64 0.999311 0.999311 6.80681e-10
3.65 0.999324 0.999324 6.69017e-10
3.66 0.999338 0.999338 6.57565e-10
3.67 0.999351 0.999351 6.46292e-10
3.68 0.999364 0.999364 6.35219e-10
3.69 0.999376 0.999376 6.24324e-10
3.7 0.999389 0.999389 6.13607e-10
3.71 0.999401 0.999401 6.03079e-10
3.72 0.999413 0.999413 5.92719e-10
3.73 0.999424 0.999424 5.82536e-10
3.74 0.999436 0.999436 5.72521e-10
3.75 0.999447 0.999447 5.62684e-10
3.76 0.999458 0.999458 5.53002e-10
3.77 0.999469 0.999469 5.43488e-10
3.78 0.999479 0.999479 5.3414e-10
3.79 0.999489 0.999489 5.24948e-10
3.8 0.9995 0.9995 5.15901e-10
3.81 0.999509 0.999509 5.07021e-10
3.82 0.999519 0.999519 4.98275e-10
3.83 0.999529 0.999529 4.89684e-10
3.84 0.999538 0.999538 4.81238e-10
3.85 0.999547 0.999547 4.72925e-10
3.86 0.999556 0.999556 4.64768e-10
3.87 0.999565 0.999565 4.56745e-10
3.88 0.999574 0.999574 4.48844e-10
3.89 0.999582 0.999582 4.41098e-10
3.9 0.99959 0.99959 4.33475e-10
3.91 0.999598 0.999598 4.25964e-10
3.92 0.999606 0.999606 4.18608e-10
3.93 0.999614 0.999614 4.11352e-10
3.94 0.999622 0.999622 4.0423e-10
3.95 0.999629 0.999629 3.9723e-10
3.96 0.999637 0.999637 3.90341e-10
3.97 0.999644 0.999644 3.83585e-10
3.98 0.999651 0.999651 3.7693e-10
3.99 0.999658 0.999658 3.70386e-10
4 0.999665 0.999665 3.63964e-10
4.01 0.999671 0.999671 3.57643e-10
4.02 0.999678 0.999678 3.51432e-10
4.03 0.999684 0.999684 3.45333e-10
4.04 0.99969 0.99969 3.39334e-10
4.05 0.999696 0.999696 3.33435e-10
4.06 0.999702 0.999702 3.27635e-10
4.07 0.999708 0.999708 3.21948e-10
4.08 0.999714 0.999714 3.16337e-10
4.09 0.99972 0.99972 3.10827e-10
4.1 0.999725 0.999725 3.05429e-10
4.11 0.999731 0.999731 3.00096e-10
4.12 0.999736 0.999736 2.94864e-10
4.13 0.999741 0.999741 2.89721e-10
4.14 0.999746 0.999746 2.84678e-10
4.15 0.999751 0.999751 2.79701e-10
4.16 0.999756 0.999756 2.74825e-10
4.17 0.999761 0.999761 2.70026e-10
4.18 0.999766 0.999766 2.65317e-10
4.19 0.999771 0.999771 2.60685e-10
4.2 0.999775 0.999775 2.56131e-10
4.21 0.99978 0.99978 2.51654e-10
4.22 0.999784 0.999784 2.47256e-10
4.23 0.999788 0.999788 2.42924e-10
4.24 0.999792 0.999792 2.38681e-10
